country_iso3,year,fuel_exports_pct_merch_exports,gdp_growth_pct,gdp_growth_5yr_avg,gdp_growth_1,gdp_growth_2,gdp_growth_3,fuel_exports_pct_1,fuel_exports_pct_2,fuel_exports_pct_3,sanctions_score
VEN,1960,92.3629279351709,3.19251943889351,,,,,,,,0.0
VEN,1961,92.3629279351709,3.19251943889351,,3.19251943889351,,,92.3629279351709,,,0.0
VEN,1962,92.3629279351709,8.53293376290748,,3.19251943889351,3.19251943889351,,92.3629279351709,92.3629279351709,,0.0
VEN,1963,92.9111895427033,3.90095116381761,,8.53293376290748,3.19251943889351,3.19251943889351,92.3629279351709,92.3629279351709,92.3629279351709,0.0
VEN,1964,91.0995448082283,11.1293452932631,5.989653819555042,3.90095116381761,8.53293376290748,3.19251943889351,92.9111895427033,92.3629279351709,92.3629279351709,0.0
VEN,1965,92.5185567156205,4.16286666476383,6.183723264729106,11.1293452932631,3.90095116381761,8.53293376290748,91.0995448082283,92.9111895427033,92.3629279351709,0.0
VEN,1966,93.4011576320389,1.51025011101866,5.847269399154135,4.16286666476383,11.1293452932631,3.90095116381761,92.5185567156205,91.0995448082283,92.9111895427033,0.0
VEN,1967,93.4213440140314,2.83386903098939,4.707456452770518,1.51025011101866,4.16286666476383,11.1293452932631,93.4011576320389,92.5185567156205,91.0995448082283,0.0
VEN,1968,93.4616531067943,7.33723265821627,5.39471275165025,2.83386903098939,1.51025011101866,4.16286666476383,93.4213440140314,93.4011576320389,92.5185567156205,0.0
VEN,1969,92.35925258221,0.706036796156368,3.3100510522289035,7.33723265821627,2.83386903098939,1.51025011101866,93.4616531067943,93.4213440140314,93.4011576320389,0.0
VEN,1970,91.0159714248327,7.71191438124387,4.0198605955249125,0.706036796156368,7.33723265821627,2.83386903098939,92.35925258221,93.4616531067943,93.4213440140314,0.0
VEN,1971,91.5238450151192,1.47929120998987,4.0136688153191535,7.71191438124387,0.706036796156368,7.33723265821627,91.0159714248327,92.35925258221,93.4616531067943,0.0
VEN,1972,90.5740424938746,1.28280503619366,3.7034560163600077,1.47929120998987,7.71191438124387,0.706036796156368,91.5238450151192,91.0159714248327,92.35925258221,0.0
VEN,1973,93.0898064449265,7.10995789495608,3.6580010637079696,1.28280503619366,1.47929120998987,7.71191438124387,90.5740424938746,91.5238450151192,91.0159714248327,0.0
VEN,1974,95.1307868601858,2.06933320169247,3.93066034481519,7.10995789495608,1.28280503619366,1.47929120998987,93.0898064449265,90.5740424938746,91.5238450151192,0.0
VEN,1975,94.640486168019,2.89625778007183,2.967529024580782,2.06933320169247,7.10995789495608,1.28280503619366,95.1307868601858,93.0898064449265,90.5740424938746,0.0
VEN,1976,93.8272821162325,7.72773984679837,4.217218751942482,2.89625778007183,2.06933320169247,7.10995789495608,94.640486168019,95.1307868601858,93.0898064449265,0.0
VEN,1977,92.611057457657,6.27078351298829,5.214814447301409,7.72773984679837,2.89625778007183,2.06933320169247,93.8272821162325,94.640486168019,95.1307868601858,0.0
VEN,1978,94.4678736341477,2.34689637191248,4.262202142692688,6.27078351298829,7.72773984679837,2.89625778007183,92.611057457657,93.8272821162325,94.640486168019,0.0
VEN,1979,92.7633174683121,0.764355145425426,4.001206531439279,2.34689637191248,6.27078351298829,7.72773984679837,94.4678736341477,92.611057457657,93.8272821162325,0.0
VEN,1980,94.0132950841181,-4.42132236441782,2.5376905025413494,0.764355145425426,2.34689637191248,6.27078351298829,92.7633174683121,94.4678736341477,92.611057457657,0.0
VEN,1981,92.8470828736878,-1.28832143395154,0.734478246391367,-4.42132236441782,0.764355145425426,2.34689637191248,94.0132950841181,92.7633174683121,94.4678736341477,0.0
VEN,1982,94.9870259876472,2.64479628533559,0.00928080086082712,-1.28832143395154,-4.42132236441782,0.764355145425426,92.8470828736878,94.0132950841181,92.7633174683121,0.0
VEN,1983,95.4270089483389,-9.8555302269491,-2.4312045189114886,2.64479628533559,-1.28832143395154,-4.42132236441782,94.9870259876472,92.8470828736878,94.0132950841181,0.0
VEN,1984,93.1300299355276,5.22290283259414,-1.539494981477746,-9.8555302269491,2.64479628533559,-1.28832143395154,95.4270089483389,94.9870259876472,92.8470828736878,0.0
VEN,1985,79.9671112777283,0.867445543503692,-0.48174139989344356,5.22290283259414,-9.8555302269491,2.64479628533559,93.1300299355276,95.4270089483389,94.9870259876472,0.0
VEN,1986,84.0617359322362,6.07980818844057,0.9918845245849784,0.867445543503692,5.22290283259414,-9.8555302269491,79.9671112777283,93.1300299355276,95.4270089483389,0.0
VEN,1987,87.1351581271011,4.80107391677578,1.4231400508730165,6.07980818844057,0.867445543503692,5.22290283259414,84.0617359322362,79.9671112777283,93.1300299355276,0.0
VEN,1988,84.77737059856601,6.51035577626698,4.696317251516232,4.80107391677578,6.07980818844057,0.867445543503692,87.1351581271011,84.0617359322362,79.9671112777283,0.0
VEN,1989,82.4195830700309,-13.9197067893711,0.8677953271231846,6.51035577626698,4.80107391677578,6.07980818844057,84.77737059856601,87.1351581271011,84.0617359322362,0.0
VEN,1990,80.0617955414958,6.4678522746499,1.9878766733524258,-13.9197067893711,6.51035577626698,4.80107391677578,82.4195830700309,84.77737059856601,87.1351581271011,0.0
VEN,1991,80.8505449922492,9.72990963006499,2.7178969616773103,6.4678522746499,-13.9197067893711,6.51035577626698,80.0617955414958,82.4195830700309,84.77737059856601,0.0
VEN,1992,79.9198010311707,6.06034937385407,2.969752053092968,9.72990963006499,6.4678522746499,-13.9197067893711,80.8505449922492,80.0617955414958,82.4195830700309,0.0
VEN,1993,77.6086498419481,0.275410410462172,1.7227629799320063,6.06034937385407,9.72990963006499,6.4678522746499,79.9198010311707,80.8505449922492,80.0617955414958,0.0
VEN,1994,75.9427778042581,-2.34933212064234,4.036837913677759,0.275410410462172,6.06034937385407,9.72990963006499,77.6086498419481,79.9198010311707,80.8505449922492,0.0
